,id,anchor,target,context,score,input
0,37d61fd2272659b1,abatement,abatement of pollution,A47,0.5,TEXT1: A47; TEXT2: abatement of pollution; ANC1: abatement
1,7b9652b17b68b7a4,abatement,act of abating,A47,0.75,TEXT1: A47; TEXT2: act of abating; ANC1: abatement
2,36d72442aefd8232,abatement,active catalyst,A47,0.25,TEXT1: A47; TEXT2: active catalyst; ANC1: abatement
3,5296b0c19e1ce60e,abatement,eliminating process,A47,0.5,TEXT1: A47; TEXT2: eliminating process; ANC1: abatement
4,54c1e3b9184cb5b6,abatement,forest region,A47,0.0,TEXT1: A47; TEXT2: forest region; ANC1: abatement
5,067203128142739c,abatement,greenhouse gases,A47,0.25,TEXT1: A47; TEXT2: greenhouse gases; ANC1: abatement
6,061d17f04be2d1cf,abatement,increased rate,A47,0.25,TEXT1: A47; TEXT2: increased rate; ANC1: abatement
7,e1f44e48399a2027,abatement,measurement level,A47,0.25,TEXT1: A47; TEXT2: measurement level; ANC1: abatement
8,0a425937a3e86d10,abatement,minimising sounds,A47,0.5,TEXT1: A47; TEXT2: minimising sounds; ANC1: abatement
9,ef2d4c2e6bbb208d,abatement,mixing core materials,A47,0.25,TEXT1: A47; TEXT2: mixing core materials; ANC1: abatement
10,4c3f2750e7540ab7,abatement,multi pollution abatement device,A47,0.5,TEXT1: A47; TEXT2: multi pollution abatement device; ANC1: abatement
11,84261a11e5d1b68b,abatement,noise reduction,A47,0.5,TEXT1: A47; TEXT2: noise reduction; ANC1: abatement
12,bfd7270f57530991,abatement,pollution abatement,A47,0.5,TEXT1: A47; TEXT2: pollution abatement; ANC1: abatement
13,b3832eac81b73dfd,abatement,pollution abatement incinerator,A47,0.5,TEXT1: A47; TEXT2: pollution abatement incinerator; ANC1: abatement
14,9001756895ec8ca1,abatement,pollution certificate,A47,0.0,TEXT1: A47; TEXT2: pollution certificate; ANC1: abatement
15,cc96541d4987b399,abatement,rent abatement,A47,0.0,TEXT1: A47; TEXT2: rent abatement; ANC1: abatement
16,deb9204cd9783e8b,abatement,sorbent material,A47,0.25,TEXT1: A47; TEXT2: sorbent material; ANC1: abatement
17,45db77f26e5ac39f,abatement,source items pollution abatement technology,A47,0.5,TEXT1: A47; TEXT2: source items pollution abatement technology; ANC1: abatement
18,1222e36d9a94c2a4,abatement,stone abutments,A47,0.0,TEXT1: A47; TEXT2: stone abutments; ANC1: abatement
19,a8c9e9f37d4d836a,abatement,tax abatement,A47,0.0,TEXT1: A47; TEXT2: tax abatement; ANC1: abatement
20,c450cc69fa315db9,abatement,water bodies,A47,0.0,TEXT1: A47; TEXT2: water bodies; ANC1: abatement
21,09913d3964d4c881,abatement,emission abatement,A61,0.5,TEXT1: A61; TEXT2: emission abatement; ANC1: abatement
22,87af8ea095cc18d4,abatement,prevention,A61,0.5,TEXT1: A61; TEXT2: prevention; ANC1: abatement
23,d7bb1ea2b761fef2,abatement,prophylaxis,A61,0.25,TEXT1: A61; TEXT2: prophylaxis; ANC1: abatement
24,f6dfaebab0d209b7,abatement,pollution abatement,A62,0.5,TEXT1: A62; TEXT2: pollution abatement; ANC1: abatement
